,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.39008474349975586,0.0011765003204345704,0.3716475095785441,0.38218543444814046,0.1,"(50, 50)",2,"{'gmm__n_components': 2, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",42,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.3333333333333333,0.38609112709832133,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.06949083374126072,2.6262691208442954e-05,0.019228348460861838,0.0019543589917585926
1,0.7447851181030274,0.002306699752807617,0.3773946360153257,0.3814660099877088,0.1,"(50, 50)",5,"{'gmm__n_components': 5, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",30,0.38095238095238093,0.381294964028777,0.38095238095238093,0.3824940047961631,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.36231884057971014,0.3811230585424134,0.07778258287572358,0.001268984691364158,0.007502000762354478,0.0005197149514884383
2,1.202082633972168,0.0033641338348388674,0.382183908045977,0.38553759143223054,0.1,"(50, 50)",10,"{'gmm__n_components': 10, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",1,0.38571428571428573,0.38609112709832133,0.38095238095238093,0.3824940047961631,0.3952380952380952,0.38968824940047964,0.3671497584541063,0.3835125448028674,0.38164251207729466,0.3859020310633214,0.07404000995170402,0.0013793029866208122,0.00905339154941319,0.0024912411770070513
3,1.402165937423706,0.0033487796783447264,0.37452107279693486,0.3896031561847296,0.1,"(50, 50)",15,"{'gmm__n_components': 15, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",34,0.38095238095238093,0.3908872901678657,0.38095238095238093,0.38489208633093525,0.3476190476190476,0.3872901678657074,0.38164251207729466,0.3906810035842294,0.38164251207729466,0.3942652329749104,0.18621180149820887,0.0016084202120973702,0.01350283329082261,0.0032276867639862163
4,1.568734836578369,0.0034850120544433595,0.37452107279693486,0.39607110010916,0.1,"(50, 50)",20,"{'gmm__n_components': 20, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",34,0.38095238095238093,0.4052757793764988,0.38095238095238093,0.38968824940047964,0.3476190476190476,0.3908872901678657,0.38164251207729466,0.3918757467144564,0.38164251207729466,0.4026284348864994,0.16272175479704584,0.0003214024079368642,0.01350283329082261,0.006525923974118838
5,1.5829927444458007,0.00381617546081543,0.38122605363984674,0.4032593280214538,0.1,"(50, 50)",25,"{'gmm__n_components': 25, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",6,0.38571428571428573,0.4052757793764988,0.3761904761904762,0.41247002398081534,0.38095238095238093,0.39568345323741005,0.38164251207729466,0.3918757467144564,0.38164251207729466,0.4109916367980884,0.28114532296406136,0.00014003306952999498,0.003039143993844415,0.008193551089201957
6,1.3760407447814942,0.004752826690673828,0.38026819923371646,0.4037329276363855,0.1,"(50, 50)",30,"{'gmm__n_components': 30, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",29,0.37142857142857144,0.39928057553956836,0.38095238095238093,0.4148681055155875,0.38095238095238093,0.3932853717026379,0.3719806763285024,0.4002389486260454,0.3961352657004831,0.4109916367980884,0.2024500784415528,0.0009734956750817394,0.008913069569768816,0.00797325276914226
7,1.572416639328003,0.004754972457885742,0.38122605363984674,0.41187007383340635,0.1,"(50, 50)",35,"{'gmm__n_components': 35, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",6,0.38095238095238093,0.4028776978417266,0.38095238095238093,0.4136690647482014,0.38095238095238093,0.4088729016786571,0.38164251207729466,0.4109916367980884,0.38164251207729466,0.4229390681003584,0.12976929332255507,0.0004455567120689178,0.00033759931841486414,0.006578396779144499
8,1.6978571891784668,0.005417060852050781,0.38122605363984674,0.4164238501671781,0.1,"(50, 50)",40,"{'gmm__n_components': 40, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",6,0.38095238095238093,0.407673860911271,0.38095238095238093,0.4196642685851319,0.38095238095238093,0.4172661870503597,0.38164251207729466,0.4121863799283154,0.38164251207729466,0.4253285543608124,0.14215623156124935,0.0006561056191510289,0.00033759931841486414,0.00608312527781645
9,0.12667436599731446,0.0011668205261230469,0.3716475095785441,0.38218543444814046,0.1,"(50,)",2,"{'gmm__n_components': 2, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,)}",42,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.3333333333333333,0.38609112709832133,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.043388485804427106,0.00013597987905984328,0.019228348460861838,0.0019543589917585926
10,0.24711365699768068,0.0015426158905029296,0.3773946360153257,0.3817049586137542,0.1,"(50,)",5,"{'gmm__n_components': 5, 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,)}",30,0.38095238095238093,0.381294964028777,0.38095238095238093,0.3824940047961631,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.36231884057971014,0.3823178016726404,0.03966246955409567,0.00026555978780068424,0.007502000762354478,0.0005784408881202473
