,Alcohol SSE (left),Iris SSE (left)
2,61019.64999776857,152.3687064773378
5,35508.17599802886,46.535582051282184
10,27340.35757547754,26.648257803599705
15,24546.466942222858,19.30848809523811
20,22991.771693917643,14.54350980392137
25,21916.176968586908,12.085544011544094
30,21047.908046157874,10.093242424242227
35,20408.83972394923,8.568885281385391
40,19859.027326550466,7.214611111111161
