,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.3272838115692139,0.001128816604614258,0.38122605363984674,0.38122620183423156,0.1,"(50, 50)",2,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 2}",1,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.08037590807839486,8.959167474407054e-05,0.00033759931841486414,8.42161451151526e-05
1,0.6454317569732666,0.0016454219818115234,0.38122605363984674,0.3814660099877088,0.1,"(50, 50)",5,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 5}",1,0.38095238095238093,0.3824940047961631,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.05974496269843398,0.00033062877645076893,0.00033759931841486414,0.0005197149514884383
2,1.0747442722320557,0.0031691074371337892,0.367816091954023,0.3879365324944346,0.1,"(50, 50)",10,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 10}",22,0.3619047619047619,0.3908872901678657,0.37142857142857144,0.38848920863309355,0.34285714285714286,0.3920863309352518,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3870967741935484,0.2868243250841715,0.0011970494832838413,0.014517869810801633,0.0038304535021259065
3,1.661550521850586,0.0033111572265625,0.3735632183908046,0.3977574929303869,0.1,"(50, 50)",15,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 15}",18,0.4,0.40167865707434053,0.34285714285714286,0.39688249400479614,0.36666666666666664,0.4064748201438849,0.37681159420289856,0.3906810035842294,0.38164251207729466,0.3930704898446834,0.43820132734886025,0.0007731437741923423,0.018837255429419966,0.005730229393357307
4,1.3849392414093018,0.0035620689392089843,0.35919540229885055,0.40470505316177163,0.1,"(50, 50)",20,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 20}",26,0.3380952380952381,0.3920863309352518,0.3952380952380952,0.41127098321342925,0.30952380952380953,0.42685851318944845,0.3719806763285024,0.3942652329749104,0.38164251207729466,0.39904420549581837,0.17916922430443363,0.0007066793383542249,0.03129647651791227,0.012916303039974904
5,1.333420991897583,0.004010248184204102,0.35823754789272033,0.4113973337459065,0.1,"(50, 50)",25,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 25}",31,0.36666666666666664,0.4052757793764988,0.3619047619047619,0.41606714628297364,0.30952380952380953,0.41127098321342925,0.38164251207729466,0.4050179211469534,0.3719806763285024,0.41935483870967744,0.21590380209529805,0.0005208751688944731,0.025305990928702074,0.0057151610973294915
6,1.366718339920044,0.004458808898925781,0.34099616858237547,0.4204928530294044,0.1,"(50, 50)",30,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 30}",43,0.37142857142857144,0.4136690647482014,0.37142857142857144,0.420863309352518,0.24285714285714285,0.4196642685851319,0.3671497584541063,0.4217443249701314,0.3526570048309179,0.4265232974910394,0.11946235426601831,0.000877101125542079,0.04972412791542031,0.004130867197056802
7,1.512378215789795,0.004028224945068359,0.35727969348659006,0.4240805205298127,0.1,"(50, 50)",35,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 35}",35,0.37142857142857144,0.4088729016786571,0.3523809523809524,0.42206235011990406,0.38571428571428573,0.42805755395683454,0.30917874396135264,0.42891278375149344,0.3671497584541063,0.4324970131421744,0.095640268497866,0.0004234094495927993,0.026187720792817414,0.008310831408982512
8,1.882656192779541,0.005164146423339844,0.35919540229885055,0.43055620020112945,0.1,"(50, 50)",40,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'gmm__n_components': 40}",26,0.3904761904761905,0.4244604316546763,0.35714285714285715,0.4364508393285372,0.32857142857142857,0.4316546762589928,0.38164251207729466,0.4265232974910394,0.33816425120772947,0.4336917562724014,0.29350722950147096,0.00043134627130275076,0.023956590946513975,0.004454387284669689
9,0.08894720077514648,0.0009451866149902344,0.38122605363984674,0.38122620183423156,0.1,"(50,)",2,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'gmm__n_components': 2}",1,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.013832871162949926,4.0861522437805325e-05,0.00033759931841486414,8.42161451151526e-05
10,0.22114295959472657,0.0013842105865478516,0.38122605363984674,0.3814660099877088,0.1,"(50,)",5,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'gmm__n_components': 5}",1,0.38095238095238093,0.3824940047961631,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.046949580300212616,0.00032330689508944195,0.00033759931841486414,0.0005197149514884383
