,0,1,2,3,4,5,6,7,8,9
2,0.24132538909435272,0.30838504205037465,0.3556133673219436,0.27810062678427155,0.3187025731934363,0.17859734701893215,0.2916665127643356,0.2498391467873793,0.2735064324789389,0.30672139864090314
5,0.4469810490593262,0.4689421985329576,0.5445046233625561,0.4459499381094551,0.4877131758865328,0.3557675846735885,0.4781829301090471,0.47765369105600736,0.3812794193338195,0.41778753516085787
10,0.6145607111934118,0.6341123692855472,0.5806454379103031,0.6457338999986444,0.5870876460550605,0.5223503708539659,0.5943982451668081,0.6229558805504488,0.4928192533274928,0.5363723100771536
15,0.7245587954626113,0.6737083658960368,0.6570174612162292,0.6687121539079931,0.6588121562367497,0.6960726413834889,0.6580270625684123,0.6830881978606791,0.59555842592162,0.6299194955513979
20,0.7585025243011797,0.746278797888361,0.7457373998418715,0.6922475687468816,0.7784138196838966,0.682021624339544,0.7386881830581192,0.7282137990169071,0.7051154585307701,0.7153373414292303
25,0.7848001844744454,0.759791048345064,0.7872733085194015,0.7799087228857298,0.762388271249799,0.7402519958008095,0.7228228032726275,0.7224261512003549,0.7099276464237223,0.7306334710748913
30,0.8005839540394919,0.8153775926498967,0.77961272029303,0.7865263123100851,0.8011308818320902,0.7623025157704518,0.7874442291926399,0.7608229648481412,0.7343580485639322,0.783425460180155
