,Alcohol SSE (left),Iris SSE (left)
2,28398.274502276647,177.87997562766938
5,24815.247212949955,49.49841582253508
10,22100.310663741686,21.10084351794375
15,20537.815314668536,11.896827682828349
20,19573.817156512345,9.133963983642152
25,18728.424324899395,6.784398905252206
30,18068.913916999878,5.246721659743002
35,17438.950873933973,4.110925238530346
40,17075.21464849126,3.4545573000115635
