,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,3.3891223907470702,0.0007758140563964844,0.36973180076628354,0.6135315403591106,0.1,"(50,)",5,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'km__n_clusters': 5}",39,0.4,0.5887290167865707,0.3904761904761905,0.6163069544364509,0.24761904761904763,0.6714628297362111,0.45893719806763283,0.6057347670250897,0.3526570048309179,0.5854241338112306,0.1634725303480341,0.00010269427455564707,0.0700421203909814,0.031079634376968965
11,3.464326572418213,0.0008491992950439454,0.41379310344827586,0.7852066733709806,0.1,"(50,)",10,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'km__n_clusters': 10}",33,0.4142857142857143,0.7086330935251799,0.3380952380952381,0.8237410071942446,0.3380952380952381,0.8309352517985612,0.5217391304347826,0.7682198327359617,0.45893719806763283,0.7945041816009558,0.14489537667518732,5.650960929206594e-05,0.07085020195427201,0.0443046438032343
12,3.579398441314697,0.000982189178466797,0.46360153256704983,0.8895928418555478,0.1,"(50,)",15,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'km__n_clusters': 15}",22,0.5238095238095238,0.8860911270983214,0.42857142857142855,0.8860911270983214,0.3380952380952381,0.8764988009592326,0.5410628019323671,0.8948626045400239,0.48792270531400966,0.9044205495818399,0.17194842002346025,0.0002115480730247659,0.07383399746676009,0.009419227512310857
13,3.7538723945617676,0.0009362220764160157,0.4722222222222222,0.9119242240616108,0.1,"(50,)",20,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'km__n_clusters': 20}",16,0.5857142857142857,0.9424460431654677,0.4666666666666667,0.9244604316546763,0.37142857142857144,0.934052757793765,0.5024154589371981,0.8207885304659498,0.43478260869565216,0.937873357228196,0.26049095104453507,0.00010233967471147684,0.07140962997389369,0.0459510219834542
14,3.722823429107666,0.00092315673828125,0.49137931034482757,0.8757871122456875,0.1,"(50,)",25,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'km__n_clusters': 25}",5,0.5761904761904761,0.7853717026378897,0.4238095238095238,0.9784172661870504,0.37142857142857144,0.9592326139088729,0.5362318840579711,0.8375149342891278,0.5507246376811594,0.8183990442054958,0.2142136776732807,0.00012155635117418205,0.07972825871817348,0.07801178949276658
15,4.020867776870728,0.0009409427642822265,0.4616858237547893,0.8072741806554756,0.1,"(50,)",30,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'km__n_clusters': 30}",24,0.5285714285714286,0.7913669064748201,0.46190476190476193,0.8932853717026379,0.319047619047619,0.7961630695443646,0.5072463768115942,0.7646356033452808,0.4927536231884058,0.7909199522102748,0.2671119146812372,0.00010044171517403338,0.07480212103483218,0.04440705396760458
16,3.951553964614868,0.0010626792907714843,0.4722222222222222,0.8499041626913524,0.1,"(50,)",35,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'km__n_clusters': 35}",16,0.5333333333333333,0.8129496402877698,0.45714285714285713,0.8693045563549161,0.3238095238095238,0.934052757793765,0.5507246376811594,0.8207885304659498,0.4975845410628019,0.8124253285543608,0.19538259335555616,0.0001504005474429932,0.08109851695180402,0.047064596261395746
17,4.1417468070983885,0.0008793354034423828,0.5019157088122606,0.9002630153941362,0.1,"(50,)",40,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'km__n_clusters': 40}",1,0.5714285714285714,0.9724220623501199,0.48095238095238096,0.920863309352518,0.3523809523809524,0.973621103117506,0.6038647342995169,0.8410991636798089,0.5024154589371981,0.7933094384707288,0.2587345288834579,2.3210951758646426e-05,0.08728711169962741,0.07204462251907962
18,2.136914682388306,0.0006431102752685547,0.3457854406130268,0.4111678399216111,0.1,"(25,)",2,"{'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1, 'km__n_clusters': 2}",43,0.37142857142857144,0.4052757793764988,0.3380952380952381,0.4196642685851319,0.29523809523809524,0.420863309352518,0.357487922705314,0.3966547192353644,0.3671497584541063,0.4133811230585424,0.19353742831015852,0.00017590422589954462,0.027852516659147637,0.00912619416060171
19,2.4099658012390135,0.0006466388702392578,0.34674329501915707,0.5354486303430374,0.1,"(25,)",5,"{'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1, 'km__n_clusters': 5}",42,0.38095238095238093,0.5335731414868106,0.3619047619047619,0.5503597122302158,0.2761904761904762,0.5335731414868106,0.391304347826087,0.5256869772998806,0.32367149758454106,0.5340501792114696,0.09033196720272246,0.0001139225145775579,0.042215576503960156,0.008082336489507966
20,2.464398956298828,0.0007058143615722656,0.3888888888888889,0.67196823186612,0.1,"(25,)",10,"{'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1, 'km__n_clusters': 10}",36,0.4238095238095238,0.6750599520383693,0.30952380952380953,0.6786570743405276,0.3238095238095238,0.7086330935251799,0.48792270531400966,0.6379928315412187,0.40096618357487923,0.6594982078853047,0.11627053897761386,3.3474036431311566e-05,0.06586181139967733,0.023274194950925146
21,2.4247702598571776,0.0009885311126708984,0.4339080459770115,0.7049758043027944,0.1,"(25,)",15,"{'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1, 'km__n_clusters': 15}",29,0.5095238095238095,0.6726618705035972,0.3904761904761905,0.6858513189448441,0.3142857142857143,0.749400479616307,0.4975845410628019,0.7252090800477897,0.45893719806763283,0.6917562724014337,0.03837340368144807,0.000442162676352266,0.07304835628275919,0.02816959178106946
