,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.09201383590698242,0.0008136272430419922,0.96,0.9616666666666667,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",26,0.9666666666666667,0.9583333333333334,0.9666666666666667,0.9583333333333334,0.9333333333333333,0.975,0.9333333333333333,0.9666666666666667,1.0,0.95,0.011417804044961807,0.00044907521572669113,0.024944382578492935,0.008498365855987974
1,0.11430916786193848,0.0008087635040283203,0.96,0.9816666666666667,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",26,0.9666666666666667,0.975,1.0,0.9666666666666667,0.9,0.9916666666666667,0.9333333333333333,1.0,1.0,0.975,0.04623923839645527,0.0004522047523122037,0.038873012632301994,0.012247448713915898
2,0.12659926414489747,0.0006561279296875,0.98,0.9883333333333333,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",1,1.0,0.9833333333333333,1.0,0.9833333333333333,0.9666666666666667,0.9916666666666667,0.9333333333333333,1.0,1.0,0.9833333333333333,0.016082080182793786,0.00012154176023673573,0.02666666666666666,0.006666666666666693
3,0.1136970043182373,0.0009601593017578125,0.9733333333333334,0.9866666666666666,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",7,1.0,0.9833333333333333,1.0,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,1.0,1.0,0.9833333333333333,0.027765623705241074,0.0007125857810646608,0.03265986323710903,0.006666666666666687
4,0.13620915412902831,0.0009796142578125,0.9733333333333334,0.9866666666666666,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",7,1.0,0.9833333333333333,1.0,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,1.0,1.0,0.9833333333333333,0.030505264280292446,0.0005262124873821721,0.03265986323710903,0.006666666666666687
5,0.13050384521484376,0.0007468223571777344,0.9733333333333334,0.9866666666666666,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 25}",7,1.0,0.9833333333333333,1.0,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,1.0,1.0,0.9833333333333333,0.02778664009127966,0.0002109996396927728,0.03265986323710903,0.006666666666666687
6,0.12350583076477051,0.000766134262084961,0.9733333333333334,0.985,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 30}",7,1.0,0.9833333333333333,1.0,0.975,0.9333333333333333,0.9833333333333333,0.9333333333333333,1.0,1.0,0.9833333333333333,0.03611158413066265,0.00019363262034713142,0.03265986323710903,0.008164965809277272
7,0.06795744895935059,0.000637960433959961,0.96,0.9616666666666667,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 2}",26,0.9666666666666667,0.9583333333333334,0.9666666666666667,0.9583333333333334,0.9333333333333333,0.975,0.9333333333333333,0.9666666666666667,1.0,0.95,0.020877866878168245,0.00017216875011508316,0.024944382578492935,0.008498365855987974
8,0.05979475975036621,0.000576019287109375,0.96,0.9816666666666667,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 5}",26,0.9666666666666667,0.975,1.0,0.9666666666666667,0.9,0.9916666666666667,0.9333333333333333,1.0,1.0,0.975,0.031138671305333872,4.0511519217986e-05,0.038873012632301994,0.012247448713915898
9,0.06166377067565918,0.0005800247192382813,0.98,0.9866666666666667,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 10}",1,1.0,0.975,1.0,0.9833333333333333,0.9666666666666667,0.9916666666666667,0.9333333333333333,1.0,1.0,0.9833333333333333,0.012840471898653139,4.1464384015815506e-05,0.02666666666666666,0.008498365855987991
10,0.0629544734954834,0.0006883144378662109,0.98,0.9866666666666666,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 15}",1,1.0,0.9833333333333333,1.0,0.9833333333333333,0.9666666666666667,0.9833333333333333,0.9333333333333333,1.0,1.0,0.9833333333333333,0.020706483454491185,0.00017831063966787465,0.02666666666666666,0.006666666666666687
11,0.0517484188079834,0.0013083457946777345,0.9733333333333334,0.9816666666666667,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 20}",7,1.0,0.975,1.0,0.975,0.9333333333333333,0.9833333333333333,0.9333333333333333,1.0,1.0,0.975,0.015525185456300895,0.0009532444533490037,0.03265986323710903,0.009718253158075509
