,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.05039205551147461,0.0021454811096191405,0.3726053639846743,0.37500322322786933,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",6,0.37142857142857144,0.3776978417266187,0.37142857142857144,0.3764988009592326,0.38095238095238093,0.3752997601918465,0.37681159420289856,0.37753882915173237,0.36231884057971014,0.36798088410991636,0.01359561600430435,0.001534237405111297,0.00624978316203564,0.003614642440519355
1,0.07572178840637207,0.001028299331665039,0.3524904214559387,0.36114592197209977,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",15,0.38095238095238093,0.36810551558752996,0.3904761904761905,0.3908872901678657,0.35714285714285715,0.37290167865707435,0.2995169082125604,0.35842293906810035,0.3333333333333333,0.3154121863799283,0.027373174188735982,0.00022236834485690876,0.03296528991851239,0.025180039506698573
2,0.03209619522094727,0.0015213489532470703,0.3553639846743295,0.35537419526744196,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",14,0.37142857142857144,0.381294964028777,0.3333333333333333,0.3513189448441247,0.3476190476190476,0.34772182254196643,0.37681159420289856,0.34528076463560337,0.34782608695652173,0.35125448028673834,0.009276443916898703,0.0007989338211705018,0.01625045461998276,0.013158567634404518
3,0.06315364837646484,0.0013796329498291016,0.35727969348659006,0.3793593082523229,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",13,0.40476190476190477,0.4172661870503597,0.38571428571428573,0.4052757793764988,0.3047619047619048,0.38369304556354916,0.3188405797101449,0.32974910394265233,0.3719806763285024,0.36081242532855434,0.019878816904575502,0.0005111707813686423,0.03881686074640829,0.03140871042452155
4,0.06133179664611817,0.0010166168212890625,0.3505747126436782,0.38432479822593535,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",16,0.3333333333333333,0.3764988009592326,0.3761904761904762,0.37290167865707435,0.3380952380952381,0.38369304556354916,0.3333333333333333,0.35961768219832735,0.3719806763285024,0.42891278375149344,0.019160710048683974,0.00019732458434398013,0.019310681013330368,0.023624830331489908
5,0.049222373962402345,0.0010028362274169921,0.38026819923371646,0.3994327118950001,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 25}",3,0.3761904761904762,0.3908872901678657,0.3476190476190476,0.3980815347721823,0.3619047619047619,0.4196642685851319,0.391304347826087,0.3954599761051374,0.4251207729468599,0.3930704898446834,0.018341195871474206,0.00012272934413383641,0.026620022018611026,0.01039640608375236
6,0.04829216003417969,0.0014170169830322265,0.3764367816091954,0.3934469628598196,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 30}",5,0.37142857142857144,0.39448441247002397,0.38095238095238093,0.3932853717026379,0.36666666666666664,0.4040767386091127,0.38164251207729466,0.3870967741935484,0.38164251207729466,0.38829151732377537,0.004736724670832702,0.0007450853739500053,0.006252518017759122,0.006016611349396103
7,0.036695432662963864,0.0006665706634521485,0.2950191570881226,0.29626621283618265,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 2}",24,0.3,0.3249400479616307,0.30952380952380953,0.3273381294964029,0.3523809523809524,0.3057553956834532,0.30434782608695654,0.3213859020310633,0.20772946859903382,0.2019115890083632,0.01306959761881779,1.22848281770113e-05,0.047298857297613524,0.047773405237195934
8,0.029958438873291016,0.0012217044830322265,0.2978927203065134,0.307683315713021,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 5}",23,0.2714285714285714,0.2853717026378897,0.3523809523809524,0.30935251798561153,0.24761904761904763,0.290167865707434,0.2995169082125604,0.2927120669056153,0.3188405797101449,0.36081242532855434,0.009321193204501723,0.0005221333873766373,0.03652401821596308,0.02776409869789406
9,0.054506969451904294,0.0010190486907958984,0.33045977011494254,0.3450478327015807,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 10}",21,0.319047619047619,0.3609112709832134,0.3523809523809524,0.3537170263788969,0.3142857142857143,0.29376498800959233,0.3333333333333333,0.34767025089605735,0.3333333333333333,0.36917562724014336,0.01376838789178295,0.0003622818565549361,0.01336982812897018,0.02662991287749325
10,0.036225748062133786,0.0008056163787841797,0.3438697318007663,0.37235845732016537,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 15}",18,0.3952380952380952,0.4040767386091127,0.32857142857142857,0.34532374100719426,0.2904761904761905,0.35731414868105515,0.37681159420289856,0.3823178016726404,0.3285024154589372,0.3727598566308244,0.010408605945708345,5.4723582367752354e-05,0.037593726776003825,0.02031061859133883
