,Alcohol log-likelihood,Iris log-likelihood
2,-7.0069852439357065,-2.813608844602629
5,-6.9229064689318855,-2.619655220527571
10,-6.795919512177008,-2.071902438907131
15,-6.672706579631936,-1.7497061798634468
20,-6.546353782230469,-1.4115187728960965
25,-6.39889820673046,-0.7676136406508349
30,-6.282415571259187,-0.048508559661848936
35,-6.208130891280669,0.6287826738747578
40,-6.106363205361886,1.3621777242682995
