,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,6.577786016464233,0.0009320259094238281,0.3716475095785441,0.41836294405335944,0.1,"(50, 50)",2,"{'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2, 'NN__alpha': 0.1}",43,0.3619047619047619,0.41247002398081534,0.35714285714285715,0.39928057553956836,0.3904761904761905,0.4712230215827338,0.38164251207729466,0.4169653524492234,0.3671497584541063,0.3918757467144564,0.5957728542922751,7.489188680142885e-05,0.012511687626667694,0.02791621742518471
1,6.5247180461883545,0.0010431766510009765,0.44061302681992337,0.9983256405628186,0.1,"(50, 50)",5,"{'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5, 'NN__alpha': 0.1}",3,0.48095238095238096,1.0,0.4095238095238095,1.0,0.3380952380952381,0.9976019184652278,0.5555555555555556,0.997610513739546,0.42028985507246375,0.996415770609319,0.4084167992270383,0.00012280446434911722,0.0730566485118893,0.0014345551461650164
2,6.507046747207641,0.0010980129241943359,0.41475095785440613,0.9995221027479092,0.1,"(50, 50)",10,"{'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10, 'NN__alpha': 0.1}",22,0.45714285714285713,1.0,0.3238095238095238,1.0,0.3619047619047619,1.0,0.5120772946859904,0.997610513739546,0.42028985507246375,1.0,0.6497568504511316,0.0002138176631830404,0.06686586394489354,0.0009557945041815952
3,7.996093130111694,0.0011718273162841797,0.43582375478927204,1.0,0.1,"(50, 50)",15,"{'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15, 'NN__alpha': 0.1}",5,0.5047619047619047,1.0,0.3761904761904762,1.0,0.35714285714285715,1.0,0.48792270531400966,1.0,0.45410628019323673,1.0,0.7881875192571627,0.00016633129961667184,0.059337812656085336,0.0
4,7.778456783294677,0.0012528419494628907,0.43582375478927204,0.9997610513739545,0.1,"(50, 50)",20,"{'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20, 'NN__alpha': 0.1}",5,0.47619047619047616,1.0,0.3904761904761905,1.0,0.3904761904761905,1.0,0.5265700483091788,1.0,0.3961352657004831,0.998805256869773,0.9141410514178243,0.000302651868705468,0.0556790326374715,0.0004778972520908198
5,8.870435428619384,0.0015493869781494141,0.4492337164750958,1.0,0.1,"(50, 50)",25,"{'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25, 'NN__alpha': 0.1}",1,0.5428571428571428,1.0,0.3761904761904762,1.0,0.36666666666666664,1.0,0.5217391304347826,1.0,0.4396135265700483,1.0,0.9847944539186592,0.0007115414276324301,0.07258328032320689,0.0
6,8.422426652908324,0.0013448238372802735,0.4272030651340996,0.9997610513739545,0.1,"(50, 50)",30,"{'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30, 'NN__alpha': 0.1}",9,0.44761904761904764,1.0,0.37142857142857144,1.0,0.3523809523809524,1.0,0.5458937198067633,0.998805256869773,0.42028985507246375,1.0,1.1031007506070472,0.00038999046349945583,0.06810552300555263,0.0004778972520908198
7,8.200255393981934,0.0013681888580322266,0.42049808429118773,0.9997610513739545,0.1,"(50, 50)",35,"{'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35, 'NN__alpha': 0.1}",12,0.46190476190476193,1.0,0.36666666666666664,1.0,0.34285714285714286,1.0,0.5169082125603864,1.0,0.41545893719806765,0.998805256869773,1.1905869823257178,0.000747071560592949,0.06315308487544172,0.0004778972520908198
8,7.146038627624511,0.001219320297241211,0.42624521072796934,0.9868561065126393,0.1,"(50, 50)",40,"{'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40, 'NN__alpha': 0.1}",10,0.5,0.9988009592326139,0.36666666666666664,0.9988009592326139,0.3238095238095238,1.0,0.4975845410628019,0.9390681003584229,0.4444444444444444,0.997610513739546,0.5021465262380361,0.0002850849581303445,0.07066568257821675,0.023905948029762047
9,3.1393290042877195,0.0008807182312011719,0.3783524904214559,0.4085419836174071,0.1,"(50,)",2,"{'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2, 'NN__alpha': 0.1}",41,0.36666666666666664,0.4064748201438849,0.36666666666666664,0.4028776978417266,0.4,0.44004796163069543,0.37681159420289856,0.3966547192353644,0.38164251207729466,0.3966547192353644,0.3743124992648588,0.0001168880487700996,0.012321357657532925,0.016196283880729006
10,3.2115108966827393,0.0007726192474365234,0.4128352490421456,0.7059367559715668,0.1,"(50,)",5,"{'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5, 'NN__alpha': 0.1}",24,0.4238095238095238,0.6630695443645084,0.4,0.7218225419664268,0.3476190476190476,0.7302158273381295,0.43478260869565216,0.6893667861409797,0.45893719806763283,0.7252090800477897,0.047484771571001304,2.9464369544083764e-05,0.03781273626767844,0.025789205918550454
11,3.594130802154541,0.0007872104644775391,0.41954022988505746,0.8585166275581685,0.1,"(50,)",10,"{'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10, 'NN__alpha': 0.1}",15,0.48095238095238096,0.8453237410071942,0.35714285714285715,0.8776978417266187,0.3476190476190476,0.907673860911271,0.5024154589371981,0.8303464755077659,0.4106280193236715,0.8315412186379928,0.18761936224585393,6.0898919347834337e-05,0.06292719079538811,0.029932039611118066
