,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,6.463734245300293,0.0009175300598144531,0.3496168582375479,0.5806924352990726,0.1,"(50, 50)",2,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'pca__n_components': 2}",34,0.3761904761904762,0.5491606714628298,0.3238095238095238,0.5899280575539568,0.3619047619047619,0.5935251798561151,0.30917874396135264,0.6152927120669056,0.37681159420289856,0.5555555555555556,0.5484429912684432,0.00010272057449722111,0.027879183920577963,0.024792216752749195
1,6.859752750396728,0.0010038852691650391,0.4511494252873563,0.9971257402680006,0.1,"(50, 50)",5,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'pca__n_components': 5}",26,0.49047619047619045,0.9976019184652278,0.41904761904761906,0.9964028776978417,0.36666666666666664,0.9964028776978417,0.5410628019323671,0.998805256869773,0.4396135265700483,0.996415770609319,1.1745518654111178,0.000205232540905976,0.05986140484298689,0.0009588158528169381
2,7.352748584747315,0.0014615535736083984,0.5747126436781609,1.0,0.1,"(50, 50)",10,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'pca__n_components': 10}",19,0.5571428571428572,1.0,0.49523809523809526,1.0,0.46190476190476193,1.0,0.6908212560386473,1.0,0.6714975845410628,1.0,1.1426734915670493,0.0009444804773021999,0.09177504436018553,0.0
3,3.943402051925659,0.0013761520385742188,0.6494252873563219,1.0,0.1,"(50, 50)",15,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'pca__n_components': 15}",13,0.7047619047619048,1.0,0.5380952380952381,1.0,0.43333333333333335,1.0,0.8164251207729468,1.0,0.7584541062801933,1.0,0.533206469016755,0.0005169960959514403,0.14278850076279087,0.0
4,2.521047830581665,0.0011146068572998047,0.6733716475095786,1.0,0.1,"(50, 50)",20,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'pca__n_components': 20}",9,0.7,1.0,0.6476190476190476,1.0,0.42857142857142855,1.0,0.855072463768116,1.0,0.7391304347826086,1.0,0.4950594879202207,0.0001730129887062197,0.14047720209182996,0.0
5,1.9793461799621581,0.0014605998992919921,0.725095785440613,1.0,0.1,"(50, 50)",25,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'pca__n_components': 25}",5,0.8238095238095238,1.0,0.680952380952381,1.0,0.4666666666666667,1.0,0.8840579710144928,1.0,0.7729468599033816,1.0,0.3849348555992166,0.0010081725579858761,0.14577434974738393,0.0
6,1.8205105781555175,0.0011571884155273438,0.7346743295019157,1.0,0.1,"(50, 50)",30,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'pca__n_components': 30}",3,0.8333333333333334,1.0,0.6619047619047619,1.0,0.4523809523809524,1.0,0.927536231884058,1.0,0.8019323671497585,1.0,0.30048506475234665,0.00024387055972002175,0.16530131681253263,0.0
7,4.162908601760864,0.0010560035705566406,0.3773946360153257,0.48537857885734426,0.1,"(50,)",2,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'pca__n_components': 2}",31,0.38095238095238093,0.46882494004796166,0.3619047619047619,0.4880095923261391,0.3952380952380952,0.47961630695443647,0.37681159420289856,0.4994026284348865,0.3719806763285024,0.4910394265232975,0.44360979603685624,0.0002496767080038941,0.010987807628092941,0.010419866890109574
8,1.925684642791748,0.0006619453430175781,0.421455938697318,0.8065375656464076,0.1,"(50,)",5,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'pca__n_components': 5}",29,0.42857142857142855,0.8081534772182254,0.3904761904761905,0.8093525179856115,0.38095238095238093,0.8357314148681055,0.45410628019323673,0.7992831541218638,0.45410628019323673,0.7801672640382318,0.255262655232512,1.7891626608822035e-05,0.030918789873112255,0.017949012522881315
9,1.7138277530670165,0.0009953975677490234,0.5296934865900383,0.9995221027479092,0.1,"(50,)",10,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'pca__n_components': 10}",23,0.5190476190476191,1.0,0.47619047619047616,1.0,0.4380952380952381,1.0,0.6183574879227053,0.997610513739546,0.5990338164251208,1.0,0.29601805901411676,0.0004614443870245314,0.06926995892390862,0.0009557945041815952
10,1.472963809967041,0.0009601593017578125,0.6293103448275862,1.0,0.1,"(50,)",15,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'pca__n_components': 15}",16,0.6666666666666666,1.0,0.5523809523809524,1.0,0.4238095238095238,1.0,0.7536231884057971,1.0,0.7536231884057971,1.0,0.21597574897710145,0.0003297968427994998,0.1268620304488063,0.0
11,1.1895236492156982,0.0010365962982177735,0.6781609195402298,1.0,0.1,"(50,)",20,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'pca__n_components': 20}",7,0.7761904761904762,1.0,0.6619047619047619,1.0,0.38095238095238093,1.0,0.8647342995169082,1.0,0.7101449275362319,1.0,0.2986608180468188,0.0004460540923321397,0.16388720576505328,0.0
