,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.2629257678985596,0.0004158496856689453,0.8933333333333333,0.9200000000000002,0.1,"(50, 50)",1,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'pca__n_components': 1}",11,0.8333333333333334,0.95,0.9333333333333333,0.9083333333333333,0.8333333333333334,0.95,0.9333333333333333,0.9,0.9333333333333333,0.8916666666666667,0.09432215776761868,2.1459473428353167e-05,0.04898979485566356,0.02505549396395481
1,0.623585319519043,0.0005319118499755859,0.8866666666666667,0.9816666666666667,0.1,"(50, 50)",2,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'pca__n_components': 2}",13,0.8,1.0,0.9333333333333333,0.9916666666666667,0.8666666666666667,1.0,0.8666666666666667,0.9916666666666667,0.9666666666666667,0.925,0.24153239587340122,0.00010094767647655281,0.0581186525805423,0.028577380332470398
2,0.48804526329040526,0.0006909847259521484,0.9466666666666667,1.0,0.1,"(50, 50)",3,"{'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1, 'pca__n_components': 3}",4,0.9666666666666667,1.0,0.9666666666666667,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.3458068669059949,0.0005654385086033527,0.03999999999999999,0.0
3,0.11982560157775879,0.00041441917419433595,0.9133333333333333,0.915,0.1,"(50,)",1,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'pca__n_components': 1}",6,0.8666666666666667,0.9166666666666666,1.0,0.8916666666666667,0.8333333333333334,0.95,0.9333333333333333,0.9083333333333333,0.9333333333333333,0.9083333333333333,0.042565363391683,0.00010992409013341504,0.0581186525805423,0.019293061504650346
4,0.13209457397460939,0.000377655029296875,0.9066666666666666,0.9333333333333332,0.1,"(50,)",2,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'pca__n_components': 2}",7,0.8666666666666667,0.95,0.9333333333333333,0.9166666666666666,0.8666666666666667,0.95,0.9,0.925,0.9666666666666667,0.925,0.05515656687643953,1.6388220935584975e-05,0.038873012632301994,0.013944333775567901
5,0.12816481590270995,0.0004972457885742187,0.9666666666666667,0.9883333333333333,0.1,"(50,)",3,"{'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1, 'pca__n_components': 3}",1,0.9666666666666667,0.9833333333333333,1.0,0.9916666666666667,0.9666666666666667,0.9916666666666667,0.9,1.0,1.0,0.975,0.02496326239474599,0.00023446401636963003,0.036514837167011066,0.008498365855987991
6,0.09056358337402344,0.00043773651123046875,0.9066666666666666,0.9200000000000002,0.1,"(25,)",1,"{'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1, 'pca__n_components': 1}",7,0.8666666666666667,0.9166666666666666,0.9666666666666667,0.9083333333333333,0.8333333333333334,0.95,0.9333333333333333,0.925,0.9333333333333333,0.9,0.035124365996813206,0.0001513942583261157,0.04898979485566356,0.01715938356831165
7,0.08900318145751954,0.0003436565399169922,0.9066666666666666,0.9349999999999999,0.1,"(25,)",2,"{'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1, 'pca__n_components': 2}",7,0.8666666666666667,0.95,0.9333333333333333,0.925,0.8666666666666667,0.9416666666666667,0.9,0.9333333333333333,0.9666666666666667,0.925,0.020579533532947423,1.963735607335472e-06,0.038873012632301994,0.009718253158075467
8,0.06349658966064453,0.0003662586212158203,0.96,0.9833333333333332,0.1,"(25,)",3,"{'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1, 'pca__n_components': 3}",2,0.9666666666666667,0.9833333333333333,1.0,0.975,0.9333333333333333,0.9833333333333333,0.9,1.0,1.0,0.975,0.007335121164975793,2.8138402718978923e-05,0.038873012632301994,0.009128709291752777
9,0.1672525405883789,0.0003794193267822266,0.88,0.9266666666666667,0.1,"(25, 25)",1,"{'NN__hidden_layer_sizes': (25, 25), 'NN__alpha': 0.1, 'pca__n_components': 1}",14,0.8666666666666667,0.925,0.9333333333333333,0.925,0.8333333333333334,0.95,0.8333333333333334,0.9333333333333333,0.9333333333333333,0.9,0.11352299724866434,1.4785489305114318e-05,0.04521553322083511,0.01615893285805441
10,0.34709997177124025,0.0003823757171630859,0.9066666666666666,0.9733333333333334,0.1,"(25, 25)",2,"{'NN__hidden_layer_sizes': (25, 25), 'NN__alpha': 0.1, 'pca__n_components': 2}",7,0.8666666666666667,0.9916666666666667,0.9333333333333333,0.9833333333333333,0.8666666666666667,1.0,0.9,0.9666666666666667,0.9666666666666667,0.925,0.11216297481141421,4.7550013970634115e-06,0.038873012632301994,0.026562295750848695
11,0.19927515983581542,0.0003809928894042969,0.9533333333333334,0.9966666666666667,0.1,"(25, 25)",3,"{'NN__hidden_layer_sizes': (25, 25), 'NN__alpha': 0.1, 'pca__n_components': 3}",3,0.9666666666666667,1.0,1.0,1.0,0.9333333333333333,0.9833333333333333,0.9,1.0,0.9666666666666667,1.0,0.08445510408504135,8.051349878676585e-06,0.03399346342395189,0.006666666666666687
