,Alcohol SSE (left),Iris SSE (left)
2,4479.679840468185,220.6649237794195
5,3178.6100036300622,88.26027934419488
10,2371.312994745302,46.41912511119634
15,2012.9395645172008,30.514331551406833
20,1772.3015499399444,22.8216328034775
25,1606.8647352261682,17.27104344464801
30,1478.1215761415178,14.02648052472939
35,1355.5924302241535,11.063328685790497
40,1281.8641679889288,9.601272725237543
