,Alcohol SSE (left),Iris SSE (left)
2,30276.035835773302,2.100381599942634
5,27935.368867605866,0.9213491511586033
10,25611.410687263055,0.49067445789859665
15,24304.573646115692,0.3329072483671659
20,23480.474309394693,0.2463078488811687
25,22882.823132361234,0.19012875820687206
30,22260.8820215179,0.15417643649531215
35,21677.77900053437,0.12097847694980281
40,21236.176056860535,0.10197066001752182
