,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,6.743773794174194,0.0010307788848876952,0.3793103448275862,0.40206372536379503,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",43,0.4095238095238095,0.39448441247002397,0.3476190476190476,0.41007194244604317,0.36666666666666664,0.407673860911271,0.3961352657004831,0.3978494623655914,0.37681159420289856,0.4002389486260454,0.5374237369566638,0.0002647872746535165,0.02179825233145837,0.005901541635874633
1,7.25430383682251,0.001036357879638672,0.3793103448275862,0.4590727418065548,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",43,0.4142857142857143,0.4520383693045564,0.38571428571428573,0.4724220623501199,0.3476190476190476,0.48201438848920863,0.3671497584541063,0.4217443249701314,0.38164251207729466,0.46714456391875747,0.6507405946302945,0.00018513526747864327,0.022062005680242226,0.02103602112429184
2,6.64604377746582,0.0011445999145507813,0.40325670498084293,0.6159313409487464,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",33,0.4095238095238095,0.6031175059952039,0.4380952380952381,0.684652278177458,0.319047619047619,0.6031175059952039,0.5217391304347826,0.6583034647550776,0.3285024154589372,0.5304659498207885,0.4090268410038544,0.0002804935317298969,0.07463139009927895,0.05319903364261357
3,6.67649655342102,0.0012060642242431641,0.5067049808429118,0.8105704683564976,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",21,0.5571428571428572,0.8848920863309353,0.4,0.6810551558752997,0.4380952380952381,0.8465227817745803,0.6135265700483091,0.8829151732377539,0.5265700483091788,0.7574671445639187,0.29934061262639244,0.000266585433238112,0.07803594187636963,0.07955401589829161
4,6.86730990409851,0.0011380672454833984,0.5287356321839081,0.8991696965008638,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",17,0.5333333333333333,0.8513189448441247,0.4238095238095238,0.854916067146283,0.44761904761904764,0.9688249400479616,0.6086956521739131,0.8685782556750299,0.6328502415458938,0.9522102747909199,0.6377441940673048,0.00018609101454671018,0.08342257451193037,0.05069333347870726
5,7.139814853668213,0.0011851787567138672,0.553639846743295,0.8893633480312525,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",5,0.5666666666666667,0.7769784172661871,0.5428571428571428,0.9028776978417267,0.43333333333333335,0.9820143884892086,0.6135265700483091,0.8673835125448028,0.6135265700483091,0.9175627240143369,0.7861209629871834,0.00028214257613372947,0.06626530277270594,0.06734321582113076
6,8.130744457244873,0.0011331558227539063,0.5411877394636015,0.9010546401588406,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",11,0.5857142857142857,0.919664268585132,0.4714285714285714,0.8213429256594724,0.4523809523809524,0.8968824940047961,0.6183574879227053,0.9139784946236559,0.5797101449275363,0.953405017921147,0.8184813843677069,7.769291477611506e-05,0.06662627540024106,0.04387543861480595
7,7.474268579483033,0.0013710498809814454,0.5498084291187739,0.849839698133966,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",7,0.5666666666666667,0.8561151079136691,0.5571428571428572,0.894484412470024,0.43333333333333335,0.7757793764988009,0.6473429951690821,0.8864994026284349,0.5458937198067633,0.8363201911589009,0.5078584094463771,0.00038440417896909635,0.06845513625100487,0.04253039743342667
8,7.209952783584595,0.0011008739471435546,0.5555555555555556,0.8556311939695554,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",4,0.5666666666666667,0.7565947242206235,0.5666666666666667,0.9052757793764988,0.46190476190476193,0.9436450839328537,0.642512077294686,0.8554360812425329,0.5410628019323671,0.8172043010752689,0.483042696733001,4.282985225043264e-05,0.05792009992159784,0.06556815720075594
9,3.1224666595458985,0.0006748199462890625,0.3888888888888889,0.39990545198249994,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",36,0.4095238095238095,0.39448441247002397,0.3904761904761905,0.40167865707434053,0.36666666666666664,0.4052757793764988,0.3864734299516908,0.3978494623655914,0.391304347826087,0.4002389486260454,0.11004741722174435,2.273198313462369e-05,0.013704120691779465,0.0036252077272449193
10,3.4087803840637205,0.0008890151977539063,0.3850574712643678,0.4506700016331021,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",37,0.3952380952380952,0.44244604316546765,0.38571428571428573,0.44844124700239807,0.3523809523809524,0.460431654676259,0.40096618357487923,0.4432497013142174,0.391304347826087,0.45878136200716846,0.32531007637399256,0.00017371056598426734,0.01713568474633412,0.007599285942200749
