,Alcohol log-likelihood,Iris log-likelihood
2,-32.17657792378706,4.23804952020217
5,-28.399345058314594,4.511458771810691
10,-20.582697655965745,4.785494193950032
15,-13.202257227150886,5.134050991669749
20,-15.33399449151105,5.660290973882795
25,-0.209798904318764,6.196550437132126
30,6.131255096033064,6.3460405644046975
35,13.259944973398754,6.756656162441572
40,22.474159704317557,7.328314181031789
