,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.032091188430786136,0.001342439651489258,0.38122605363984674,0.38122620183423156,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",25,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.009687485537197416,0.0006431317656388307,0.00033759931841486414,8.42161451151526e-05
1,0.06668143272399903,0.0009573936462402344,0.38122605363984674,0.38122620183423156,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",25,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.03644588470267582,0.00013721668423795547,0.00033759931841486414,8.42161451151526e-05
2,1.4534821033477783,0.0009725093841552734,0.4521072796934866,0.46597990424864416,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",16,0.44761904761904764,0.5011990407673861,0.38095238095238093,0.381294964028777,0.4714285714285714,0.49280575539568344,0.47342995169082125,0.4838709677419355,0.48792270531400966,0.47072879330943845,0.7208727913170219,5.991644368790296e-05,0.03797435627601718,0.04352974860291311
3,1.6725059509277345,0.0011869907379150391,0.45977011494252873,0.48617278220434396,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",14,0.45714285714285713,0.5191846522781774,0.4714285714285714,0.5071942446043165,0.48095238095238096,0.5179856115107914,0.38164251207729466,0.3811230585424134,0.5072463768115942,0.5053763440860215,0.8509492154005671,0.0002575524842055841,0.04214445805868844,0.05281659357830202
4,0.7018266201019288,0.001127004623413086,0.4051724137931034,0.41575857593495097,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",21,0.5,0.5539568345323741,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.9048110543393029,0.0003447069965406861,0.04758504008967495,0.06909917206551251
5,0.23187713623046874,0.001146984100341797,0.38122605363984674,0.38122620183423156,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 25}",25,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.09086118293384939,0.00010608822009822262,0.00033759931841486414,8.42161451151526e-05
6,4.4318217754364015,0.0009786128997802735,0.4540229885057471,0.5407802790026043,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 30}",15,0.38095238095238093,0.381294964028777,0.5142857142857142,0.6618705035971223,0.46190476190476193,0.6786570743405276,0.38164251207729466,0.3811230585424134,0.5314009661835749,0.6009557945041816,3.414506182023806,4.487683698662224e-05,0.06358372844806436,0.13283067385830868
7,0.16211743354797364,0.000640106201171875,0.38984674329501917,0.39463139166086486,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 2}",23,0.38571428571428573,0.38609112709832133,0.38571428571428573,0.38609112709832133,0.3761904761904762,0.4052757793764988,0.3961352657004831,0.4002389486260454,0.4057971014492754,0.3954599761051374,0.041680256874477205,1.8751526515258212e-05,0.010132536118247869,0.007632908681967149
8,0.35365920066833495,0.0007449626922607422,0.4281609195402299,0.44253371496351307,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 5}",19,0.4238095238095238,0.46522781774580335,0.4142857142857143,0.43764988009592326,0.4142857142857143,0.4316546762589928,0.4492753623188406,0.44802867383512546,0.4396135265700483,0.43010752688172044,0.10310618122284201,0.00010494812131585971,0.01398790130633136,0.012975610586683686
9,0.47455382347106934,0.0007881641387939454,0.46839080459770116,0.49019107294809316,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 10}",12,0.44285714285714284,0.4988009592326139,0.4857142857142857,0.4940047961630695,0.4714285714285714,0.4904076738609113,0.4830917874396135,0.4862604540023895,0.45893719806763283,0.48148148148148145,0.05258283004150904,9.60797174529547e-05,0.015935367304848434,0.006000471504138021
10,0.48023266792297364,0.0008105754852294922,0.4789272030651341,0.5124554120144744,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 15}",9,0.45714285714285713,0.5155875299760192,0.4666666666666667,0.5107913669064749,0.48095238095238096,0.5155875299760192,0.4782608695652174,0.5017921146953405,0.5120772946859904,0.5185185185185185,0.04894344389705707,6.776095942438063e-05,0.01856065665389812,0.005879737105809256
