,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
20,0.12910981178283693,0.0018290042877197265,0.19827586206896552,0.22172197725690418,0.1,"(25,)",10,"{'gmm__n_components': 10, 'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1}",149,0.22380952380952382,0.22541966426858512,0.20952380952380953,0.2182254196642686,0.10476190476190476,0.19184652278177458,0.21739130434782608,0.23655913978494625,0.23671497584541062,0.23655913978494625,0.020126168745085098,0.000120455201084115,0.04776013870676909,0.01648468603339223
21,0.26862339973449706,0.0024005889892578123,0.3055555555555556,0.29767068065977326,0.1,"(25,)",15,"{'gmm__n_components': 15, 'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1}",102,0.34285714285714286,0.34172661870503596,0.37142857142857144,0.34532374100719426,0.23809523809523808,0.2302158273381295,0.2028985507246377,0.22461170848267623,0.3719806763285024,0.34647550776583036,0.05437525347552069,0.00015273574282043305,0.07094014088987351,0.057413276580584406
22,0.2745445728302002,0.003019380569458008,0.2710727969348659,0.2629268628108266,0.1,"(25,)",20,"{'gmm__n_components': 20, 'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1}",113,0.26666666666666666,0.2182254196642686,0.38095238095238093,0.3669064748201439,0.21428571428571427,0.19784172661870503,0.14492753623188406,0.15412186379928317,0.34782608695652173,0.37753882915173237,0.09663092189689015,0.0002212261521407232,0.08604821204760751,0.09167386140506029
23,0.27593340873718264,0.003970956802368164,0.16187739463601533,0.15907961802600928,0.1,"(25,)",25,"{'gmm__n_components': 25, 'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1}",161,0.3761904761904762,0.37290167865707435,0.0761904761904762,0.10191846522781775,0.18571428571428572,0.1079136690647482,0.10144927536231885,0.13381123058542413,0.06763285024154589,0.07885304659498207,0.11195418584011609,0.0009124091637119858,0.11539108651944505,0.10833283851378092
24,0.23443102836608887,0.003784799575805664,0.11877394636015326,0.1149385867649966,0.1,"(25,)",30,"{'gmm__n_components': 30, 'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1}",177,0.15714285714285714,0.13189448441247004,0.08571428571428572,0.11151079136690648,0.11428571428571428,0.09592326139088729,0.15942028985507245,0.13859020310633213,0.07729468599033816,0.0967741935483871,0.09032871327046048,0.0004940588148504757,0.034478097937492534,0.017607833381147995
25,0.1700185775756836,0.004555416107177734,0.210727969348659,0.22461514659240348,0.1,"(25,)",35,"{'gmm__n_components': 35, 'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1}",142,0.21428571428571427,0.21942446043165467,0.22380952380952382,0.2158273381294964,0.1619047619047619,0.23621103117505995,0.22705314009661837,0.22341696535244923,0.22705314009661837,0.22819593787335724,0.04530064522088292,0.00020214585492150437,0.024942627252487345,0.007111835826788375
26,0.16036930084228515,0.004979276657104492,0.32950191570881227,0.3778740448501414,0.1,"(25,)",40,"{'gmm__n_components': 40, 'NN__hidden_layer_sizes': (25,), 'NN__alpha': 0.1}",91,0.38095238095238093,0.38609112709832133,0.38095238095238093,0.37410071942446044,0.36666666666666664,0.37410071942446044,0.16908212560386474,0.3763440860215054,0.34782608695652173,0.37873357228195936,0.021742901768134558,0.0003581088519205573,0.08069625145528495,0.004451426100316694
27,0.06423182487487793,0.001348590850830078,0.19348659003831417,0.18653550278057124,0.1,"(25, 25)",2,"{'gmm__n_components': 2, 'NN__hidden_layer_sizes': (25, 25), 'NN__alpha': 0.1}",153,0.20476190476190476,0.17266187050359713,0.18571428571428572,0.18585131894484413,0.19047619047619047,0.19184652278177458,0.1932367149758454,0.1911589008363202,0.1932367149758454,0.1911589008363202,0.021461936023922105,0.0005358683721375917,0.006290590567549292,0.007265044152580995
28,0.08966341018676757,0.001395416259765625,0.14367816091954022,0.16885502350807527,0.1,"(25, 25)",5,"{'gmm__n_components': 5, 'NN__hidden_layer_sizes': (25, 25), 'NN__alpha': 0.1}",165,0.15714285714285714,0.16666666666666666,0.19047619047619047,0.19544364508393286,0.10952380952380952,0.1906474820143885,0.09178743961352658,0.1135005973715651,0.16908212560386474,0.17801672640382318,0.009035842672114876,0.00011087488311694354,0.03706059466451801,0.029443859270045423
29,0.16548357009887696,0.0018524169921875,0.31992337164750956,0.3291878325296752,0.1,"(25, 25)",10,"{'gmm__n_components': 10, 'NN__hidden_layer_sizes': (25, 25), 'NN__alpha': 0.1}",94,0.38095238095238093,0.381294964028777,0.13333333333333333,0.13189448441247004,0.32857142857142857,0.37050359712230213,0.37681159420289856,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.020595672053719438,5.395820680615716e-05,0.0957307499562215,0.09873332382759445
