,Alcohol log-likelihood
2,-26.056615111979024
5,-21.453359284381957
10,-12.133628488064682
15,-6.054806745334861
20,-14.618497075413556
25,-6.713569026305603
30,-5.675906185300987
35,2.499390803602279
40,14.659060974166582
