,Alcohol SSE (left)
2,62681.73562581157
5,37148.59162122502
10,28948.226566881138
15,26075.825409454374
20,24433.18447447192
25,23431.721676207388
30,22374.810085246438
35,21660.64393590059
40,20967.313694077973
